,Label,Description,type,VolumeInMillimeters,SurfaceAreaInMillimetersSquared,Eccentricity,Elongation,Orientation,Centroid_x,Centroid_y,Centroid_z,AxesLength_x,AxesLength_y,AxesLength_z,BoundingBoxLower_x,BoundingBoxUpper_x,BoundingBoxLower_y,BoundingBoxUpper_y,BoundingBoxLower_z,BoundingBoxUpper_z,IntegratedIntensity,WeightedCentroid_x,WeightedCentroid_y,WeightedCentroid_z
52,1016,left parahippocampal,outer,1946.9474048095653,1567.87260824112,0.972225191279481,4.27263879776001,1.85349185135346,74.9561347743166,111.643356643357,122.074380165289,7.37496185302734,19.9374198913574,31.5105495452881,64.0,86.0,98.0,124.0,112.0,133.0,1598168.0,74.9561347743166,111.643356643357,122.074380165289
53,1017,left paracentral,outer,3398.8032890063996,2776.51656640171,0.96015427910072,3.57819509506226,1.54024774138334,91.3616168973052,101.933357611071,184.151128914785,10.2649974822998,28.6253337860107,36.7301635742188,80.0,97.0,74.0,120.0,168.0,201.0,2792682.0,91.3616168973052,101.933357611071,184.151128914785
54,1018,left pars opercularis,outer,3253.9890192271755,2687.23835804362,0.911261719475727,2.42819976806641,1.9586282656504,59.9958158995816,147.004944845949,156.86534804108,12.7559852600098,22.6767139434814,30.9740791320801,48.0,73.0,137.0,156.0,141.0,174.0,2676322.0,59.9958158995816,147.004944845949,156.86534804108
55,1019,left pars orbitalis,outer,1446.904968990707,1231.38527909128,0.938983677551282,2.90730047225952,2.0660737958994,64.2463644140291,165.925577416595,141.84003421728,9.16333389282227,14.9749488830566,26.6405639648438,55.0,75.0,155.0,178.0,136.0,152.0,1191211.0,64.2463644140291,165.925577416595,141.84003421728
56,1020,left pars triangularis,outer,4354.3299237889705,3300.38520617622,0.634278126777195,1.29348540306091,1.48920176239178,57.9965889710063,161.785673678226,153.416429789653,20.3239479064941,22.6342067718506,26.2887306213379,48.0,73.0,151.0,175.0,141.0,168.0,3588360.0,57.9965889710063,161.785673678226,153.416429789653
57,1021,left pericalcarine,outer,1648.6547636403948,1313.37440715006,0.965582777597503,3.84473490715027,1.68163617887253,86.1876876876877,68.1741741741742,136.424174174174,8.2080659866333,15.2700700759888,31.5578384399414,75.0,94.0,52.0,82.0,122.0,145.0,1359972.0,86.1876876876877,68.1741741741742,136.424174174174
58,1022,left postcentral,outer,11226.20022989368,9718.8520444221,0.976925248700945,4.68205308914185,2.2478527898273,59.2401323042999,109.957552370452,175.306615214994,18.9032249450684,30.3134822845459,88.5059051513672,40.0,92.0,73.0,134.0,150.0,202.0,9269540.0,59.2401323042999,109.957552370452,175.306615214994
59,1023,left posterior cingulate,outer,4031.282706589164,2860.86132065013,0.967744842810727,3.96931910514832,1.50393636849817,93.097635861222,109.485108996009,171.821614983113,11.2769250869751,18.611701965332,44.7617149353027,84.0,98.0,89.0,131.0,160.0,189.0,3331911.0,93.097635861222,109.485108996009,171.821614983113
60,1024,left precentral,outer,13558.081291979643,9724.49295986518,0.979525810511927,4.96725034713745,2.22640947026595,62.3929158298339,123.661767390907,175.749771772868,18.0959911346436,29.2575149536133,89.887321472168,41.0,94.0,89.0,148.0,141.0,203.0,11216896.0,62.3929158298339,123.661767390907,175.749771772868
61,1025,left precuneus,outer,10040.456038026188,7275.11354413818,0.916939892360243,2.50610637664795,3.13849946023259,88.1592702169625,76.6196992110454,162.450936883629,19.9255752563477,30.3887844085693,49.9356117248535,72.0,97.0,56.0,95.0,137.0,194.0,8314800.0,88.1592702169625,76.6196992110454,162.450936883629
